Area,INC,BJP,Swing
Jabasar,"Muslim(Part) , Jat","Singh, Kumar, Ram","Muslim(Part), Others"
Bas Kaliyasar,"Singh,Jat",NO core,Others
Kaliyasar,Jat,"Kumar,Ram",Others
Itava khurd,"Jat, Muslim, Meena,Ram,Savrna","Singh,Kumar,Dalit",No Swing
Itava Kalan,"Muslim, Jat, Kumar","Singh,Ram,Dalit",Others
Malsisar,"Muslim, Jat","Kumar,Singh,Savrna,Ram,Lal",Others
Alsisar,"Muslim, Jat","Kumar, Singh, Savrna, Dalit, Ram, Lal",Others
Bissau,"Muslim(Part),Jat","Kumar,Singh,Ram","Muslim(Part), Others"
Pilani Khurd,"Jat, Dalit","Singh, Ram",Others
Bidasar,"Jat, Singh, Muslim","Kumar, Ram,Savrna,Lal",Others
Badet ,"Jat, Muslim, Meena","Kumar, Singh, Savrna, Ram, Lal, OBC","Dalit, Prajapat"
Patoosar ,"Jat, Singh","Kumar, Ram, Dalit, Lal, Prajapat, Savarna",No Swing
Tamkor,"Jat, Muslim,OBC","Kumar, Savrna, Prajapat, Dalit, Ram, Lal","Singh,Meena"
Dhilsar,Others,"Jat, Lal, Kumar",Ram
Gangiyasar ,"Muslim(Part), Jat","Kumar, Savrna, Prajapat, Dalit, Ram, Lal, OBC","Muslim(Part),Meena,Gurjar"
Malsisar,"Muslim, Jat, OBC","Kumar, Singh, Prajapat, Dalit, Ram, Lal","Savarna,Meena"
Bajla,"Muslim, Jat, Kumar","Singh,Ram,Lal",Others
Dhanuri,"Muslim, Jaat","Singh, Kumar, Ram, Dalit",Others
Khidersar,Kumar,"Singh, Ram, Savrna, Dalit","Jat, Lal, Meena"
Hansasar,"Jat,Kumar","Singh,Ram",Others
Chudela,"Jat, Singh","Kumar,Ram",Others
Hamiri Khurd,"Jat,Kumar","Singh,Ram",Others
Hamirir Kalan,"Jat,Kumar","Singh,Ram",Others
Rijani,"Jat,Kumar","Singh,Ram",Others
Madansar,Muslim,"Singh,Dalit",Others
Mandawa,"Muslim,Jat","Kumar, Savrna, Singh, Dalit, Ram, Lal","Prajapat, OBC, Meena, Gurjar"
Hetamsar,"Jat,Kumar,Dalit","Singh,Ram,Lal",Others
Bhojasar,"Jat,Kumar","Singh,Savrna,Ram",Others
Ajeetgarh,"Jat,Singh","Kumar,Prajapat,Savrna,Lal",Others
Nua,"Muslim,Jat","Singh,Kumar,Savrna,Ram",Others
