DALIT,SAVRNA,SINGH,JAT,OBC
ARYA,AGARWAL,CHARAN,GORA,CHEJARA
BARAVAD,BANSAL,KANWAR,JAT,CHETARAVAL
BARMA,BHARGAV,PUROHIT,JYANI,DARJI
BHAN,BHOMIYA,RAJPUT,KAPOOR,JOGI
BHANGI,BRAHAMIN,RANA,KAPURIYA,LUHAR
CHANDRA,DALMIA,REVAD,KARWASARA,MAHALA
CHANWARIYA,GIRI,SONI,KASVA,NAI
CHOUHAN,GOSWAMI,SUNAR,KATARIYA,SAIN
DAS,JANGID,,KULHARI,SEN
DATT,JOSHI,,MAHRIYA,SUTHAR
DEDHANIYA,KAUSHIK,,NEHRA,TAK
FADOLIYA,KHATRI,,NIWAS,TANWAR
HARIJAN,KHEDAWAL,,PANWAR,TETARWAL
HATWAL,KHUDIWAL,,POONIA,
KAUR,PAREEK,,RATHI,
KEDIYA,PODAR,,SAHARAN,
MAL,PURI,,SAINI,
MEGHWAL,RUNGAT,,SARAWAG,
NAYAK,SHAH,,SIHAG,
REGAR,SHARMA,,SILAYACH,
,SWAMI,,THAKAN,
,TIWARI,,YOGI,
,UPADHY,,BADASAR,
,,,BASERA,
,,,BENIWAL,
,,,BESGARIYA,
,,,BHAKAR,
,,,CHOUDHARI,
,,,DANEVA,
,,,DANGI,
,,,DAYAL,
,,,DHAKA,
,,,DHAYAL,
,,,DHETARAVAL,
,,,GIL,
