Area,Santosh Ahlawat BJP,Rajbala Ola INC,Rahisa Bano BSP,Urmila MDP,Om Prakash Jharoda CPI(ML)L,R S Kadyan AAP,Bhan Singh  BSMP,Budhar Mal AITC,Praveen Kumar IND,Mahabir Prasad Kumawat  IND,Dr Rajkumar Sharma IND,Rajbala IND,NOTA,Total
Badet,793,107,8,17,0,16,2,9,0,0,66,12,5,1035
Jabasar,320,570,4,2,0,7,0,3,0,1,72,8,3,990
Tamkor,1404,457,35,23,5,15,11,14,8,6,319,29,23,2349
Bas Kaliyasar,116,135,2,2,0,5,0,1,1,0,11,2,0,275
Kaliyasar,391,56,16,4,0,10,0,1,1,1,26,4,1,511
Patusar,408,188,14,2,1,7,0,4,2,1,37,8,6,678
Dhilsar,378,272,23,10,2,2,2,6,2,2,20,11,8,738
Itava Khurd,328,96,7,5,0,15,0,5,2,0,72,8,4,542
Itava Kalan,185,170,9,4,0,5,0,0,1,0,20,9,3,406
Malsisar,2405,1797,35,45,10,110,11,14,12,13,603,77,66,5198
Alsisar,1245,296,63,24,4,44,3,3,7,8,460,28,22,2207
Govindpura,240,311,25,3,1,15,2,4,1,2,66,14,4,688
Niradhnu,683,473,30,14,3,51,4,5,7,5,152,26,13,1466
Gangiyasar,1014,928,52,20,5,4,6,4,4,4,108,27,15,2191
Bissau,4143,3506,130,41,14,30,13,26,13,27,762,85,99,8889
Mahansar,754,935,40,17,3,9,5,5,3,6,39,20,21,1857
Pilani Khurd,330,84,8,2,4,11,0,1,0,0,31,9,2,482
Chandva,558,332,1,6,2,19,2,6,0,2,26,19,10,983
Bidasar,311,81,38,4,3,24,2,5,1,1,102,14,1,587
Haripura,287,148,4,8,1,27,0,1,2,0,64,8,2,552
Bajla,479,174,4,10,3,9,5,4,0,0,61,12,3,764
Kyamsar,62,315,3,1,2,3,1,1,0,0,46,8,1,443
Dhanuri,147,317,8,4,0,2,2,1,1,0,67,5,1,555
Naya Bas(Dhanuri),52,487,9,2,0,3,0,0,0,1,25,2,2,583
Lutu,783,299,9,9,1,88,5,7,2,3,124,23,18,1371
Kolinda,503,207,11,6,2,73,1,6,5,5,173,31,10,1033
Khidersar,338,56,1,6,0,5,0,2,0,0,31,3,0,442
Hamirwas,172,153,1,4,0,42,0,0,1,1,27,8,1,410
Birmi,369,38,4,4,0,42,1,4,1,2,104,12,1,582
Tani,815,570,38,15,2,19,1,7,6,6,102,34,19,1634
Siriyasar Khurd,332,43,0,2,1,4,0,2,0,2,26,6,1,419
Chudela,325,89,2,5,1,27,1,7,6,1,22,14,8,508
Hansasar,274,186,7,2,2,52,0,2,4,1,27,17,3,577
Hansasari,328,228,7,11,0,5,2,3,1,5,47,11,8,656
Luna,190,158,15,4,3,6,1,2,0,3,188,10,7,587
Sonasar,714,493,5,6,0,8,3,5,1,1,61,18,4,1319
Hamiri Kalan,332,169,7,1,2,3,0,4,1,0,53,9,2,583
Hamiri Khurd,166,74,0,3,0,6,1,1,0,1,64,2,2,320
Rijani,561,102,2,1,0,25,0,2,0,0,24,2,2,721
Sekhsar,538,329,10,8,1,23,3,9,0,2,55,11,2,991
Sigda,203,246,3,0,2,4,1,0,1,3,37,4,4,508
Madansar,149,154,4,0,0,23,0,0,0,0,9,3,0,342
Chakbas,177,33,1,0,7,11,1,0,0,1,16,4,1,252
Wahidpura,982,447,56,13,7,27,8,10,3,6,316,25,24,1924
Mandawa,4096,1941,134,64,11,65,18,28,12,27,2336,111,90,8933
Ranjitpura,131,198,1,2,1,9,0,1,2,1,54,4,1,405
Ladsar,167,97,0,4,0,15,0,4,0,0,17,3,2,309
Hetamsar,650,206,7,9,1,11,1,0,1,1,176,10,3,1076
Siriyasar Kalan,500,458,17,8,2,20,4,4,3,2,227,9,7,1261
Bhojasar,460,428,5,4,4,35,4,4,2,1,194,22,9,1172
Ajeetgarh,426,81,5,10,2,4,4,3,3,5,323,14,13,893
Nua,711,688,39,14,5,23,10,7,5,14,621,41,27,2205
