Area,Saleem tanwar BJP,Dr Chandra Bhan INC,Pyarelal Dukiya BSP,Rita Choudhary IND,Narendra Kumar IND,Harish Goyal BASD,NOTA,Total
Badet,74,43,8,555,740,7,13,1440
Jabasar,249,149,13,464,122,5,11,1013
Tamkor,854,419,38,146,1330,27,42,2856
Bas Kaliyasar,3,62,2,86,94,0,4,251
Kaliyasar,12,46,24,257,167,2,4,512
Patusar,10,118,28,191,595,7,13,962
Dhilsar,5,77,49,238,647,9,7,1032
Itava Khurd,7,28,30,123,478,1,7,674
Itava Kalan,98,52,32,194,190,5,13,584
Malsisar,1788,458,104,2069,1341,48,102,5910
Alsisar,228,207,155,701,1348,16,48,2703
Govindpura,73,33,14,245,430,9,14,818
Niradhnu,264,153,47,753,711,36,17,1981
Gangiyasar,1100,280,76,569,587,27,36,2675
Bissau,2735,2836,324,1301,2280,79,154,9709
Mahansar,362,437,48,687,614,12,32,2192
Pilani Khurd,53,14,4,60,410,6,4,551
Chandva,31,181,53,365,553,3,13,1199
Bidasar,44,27,54,269,402,2,6,804
Haripura,7,40,13,231,398,4,5,698
Bajla,24,15,60,310,588,7,10,1014
Kyamsar,94,96,5,106,182,2,4,489
Dhanuri,99,335,13,297,262,1,10,1017
Naya Bas(Dhanuri),158,152,11,97,183,8,4,613
Lutu,73,139,44,477,1046,4,9,1792
Kolinda,84,66,22,351,758,6,13,1300
Khidersar,6,41,11,122,262,0,3,445
Hamirwas,17,30,15,238,187,3,5,495
Birmi,52,15,18,278,307,6,11,687
Tani,527,88,43,1012,729,20,33,2452
Siriyasar Khurd,0,12,12,203,216,3,1,447
Chudela,125,43,14,122,325,4,5,638
Hansasar,62,63,18,188,358,0,10,699
Hansasari,47,15,6,311,428,4,17,828
Luna,86,99,26,169,418,5,12,815
Sonasar,60,182,21,457,751,8,11,1490
Hamiri Kalan,22,85,21,211,413,7,8,767
Hamiri Khurd,10,34,9,168,148,1,2,372
Rijani,139,10,9,180,339,2,9,688
Sekhsar,45,202,48,294,497,4,12,1102
Sigda,37,353,9,371,255,5,7,1037
Madansar,95,21,0,111,120,2,0,349
Chakbas,7,2,0,157,104,0,0,270
Wahidpura,229,288,129,866,779,12,22,2325
Mandawa,3446,877,219,2909,2568,72,127,10218
Ranjitpura,3,68,10,142,271,0,2,496
Ladsar,15,92,4,100,310,3,4,528
Hetamsar,48,84,12,498,644,8,14,1308
Siriyasar Kalan,181,212,18,356,839,4,15,1625
Bhojasar,97,417,71,299,538,5,13,1440
Ajeetgarh,240,137,6,195,453,13,7,1051
Nua,553,343,166,1067,506,13,54,2702
