Area,Narendra Kumar BJP,Rita Choudhary INC,Anwar Ali khan BSP,Narendra Singh IND,Subkaran Singh AAP,Jagdeep IND,Mahendra Kumar Dhayal ARP,NOTA,Total
Badet,853,721,9,1,4,1,8,4,1601
Jabasar,223,1012,90,2,3,1,4,4,1339
Tamkor,1878,1380,69,16,15,17,24,24,3423
Bas Kaliyasar,129,160,0,0,0,1,1,2,293
Kaliyasar,209,362,6,2,1,2,9,3,594
Patusar,538,258,3,2,0,2,2,4,809
Dhilsar,655,524,1,3,1,5,10,2,1201
Itava Khurd,525,242,11,0,1,3,0,0,782
Itava Kalan,323,337,19,3,1,1,8,1,693
Malsisar,2875,3868,120,44,10,47,47,70,7081
Alsisar,1738,1137,157,7,12,10,7,27,3095
Govindpura,105,383,8,0,0,1,0,0,497
Niradhnu,970,1208,28,12,3,16,11,20,2268
Gangiyasar,1384,1707,47,9,10,18,14,21,3210
Bissau,6469,5567,198,45,29,50,47,91,12496
Mahansar,1099,1414,25,11,6,12,16,25,2608
Pilani Khurd,255,286,5,4,2,3,6,1,562
Chandva,614,708,8,2,2,12,8,5,1359
Bidasar,515,384,12,1,0,7,3,4,926
Haripura,395,318,4,7,1,2,6,1,734
Bajla,657,442,9,3,5,6,3,4,1129
Kyamsar,122,194,276,2,3,4,3,4,608
Dhanuri,396,684,132,2,1,2,4,10,1231
Naya Bas(Dhanuri),254,420,14,0,0,3,5,1,697
Lutu,1046,897,11,6,4,6,2,12,1984
Kolinda,854,597,23,2,3,4,4,5,1492
Khidersar,274,238,1,1,2,4,1,0,521
Hamirwas,177,382,3,1,1,2,6,2,574
Birmi,432,323,8,1,1,0,9,9,783
Tani,966,1728,87,5,9,17,38,29,2879
Siriyasar Khurd,245,229,2,3,2,1,0,2,484
Chudela,437,428,15,1,0,3,8,6,898
Hansasar,861,603,14,6,6,8,5,8,1511
Hansasari,603,570,19,7,4,4,10,12,1229
Luna,586,419,8,2,0,4,4,1,1024
Sonasar,1063,743,9,7,3,13,9,11,1858
Hamiri Kalan,404,465,11,2,3,1,7,4,897
Hamiri Khurd,173,266,1,1,1,0,1,1,444
Rijani,291,269,6,0,0,0,2,2,570
Sekhsar,603,547,89,2,3,5,4,3,1256
Sigda,628,475,53,1,0,0,2,6,1165
Madansar,139,236,35,0,1,0,2,0,413
Chakbas,142,145,0,0,0,0,0,0,287
Wahidpura,1027,799,33,14,1,4,7,12,1897
Mandawa,5258,6087,109,25,18,29,47,53,11626
Ranjitpura,280,245,10,3,5,2,4,0,549
Ladsar,339,213,4,1,2,3,1,0,563
Hetamsar,652,733,5,3,1,5,1,2,1402
Siriyasar Kalan,944,736,34,11,76,5,6,13,1825
Bhojasar,875,770,14,6,6,1,6,11,1689
Ajeetgarh,861,244,10,2,1,1,3,4,1126
Nua,1195,1841,129,12,14,14,19,40,3264
